FamilyEx,Genus,Species,AccessionList
Alismataceae,Sagittaria,latifolia,1995-0435
Amaryllidaceae,Allium,acuminatum,1974-0211; 1974-0225; 1983-0397; 1987-0459; 1995-0956; 2000-0522; 2001-0241; 2006-0192; 2007-0079; 2007-0353; 2011-0871; 2011-0897; 2015-0237; 2019-1160; 2022-0117; 2023-0514
Amaryllidaceae,Allium,amplectens,1983-0932; 2007-0500; 2007-0506; 2009-0331; 2011-0757; 2013-0316; 2015-0006
Amaryllidaceae,Allium,cernuum,1970-0050; 1971-0043; 1975-0398; 1977-0093; 1978-0716; 1978-0963; 1986-0078; 1995-0794; 1999-0285; 2004-0086; 2004-0087; 2004-0088; 2004-0089; 2006-0402; 2007-0056; 2007-0089; 2007-0462; 2008-0430; 2010-0313; 2010-0400; 2011-0253; 2013-0394; 2015-0245; 2019-0631; 2022-0352; 2023-0235
Amaryllidaceae,Allium,crenulatum,1989-0149; 1991-0135
Amaryllidaceae,Allium,geyeri,1975-0352; 2009-0330
Anacardiaceae,Rhus,glabra,1973-0279; 1975-0170; 1975-0789; 1994-0458; 2016-0371
Anacardiaceae,Toxicodendron,rydbergii,1973-0497; 1974-1117; 1975-0171; 1975-0790
Apiaceae,Angelica,dawsonii,1975-0904
Apiaceae,Angelica,lucida,1978-0962
Apiaceae,Daucus,carota,1975-0771; 1980-0105; 2004-0262; 2005-0192
Apiaceae,Heracleum,maximum,1972-0531; 1977-0037; 1995-0849; 2003-0311; 2004-0126
Apiaceae,Lomatium,dissectum,1977-0536; 1995-0959; 1998-0718; 1998-0719; 2008-0098; 2017-0347; 2018-0726; 2021-0026
Apiaceae,Lomatium,geyeri,1995-0246
Apiaceae,Lomatium,grayi,2017-0317; 2018-0722
Apiaceae,Lomatium,macrocarpum,1994-0551; 1995-0247; 2013-0276; 2021-0687
Apiaceae,Lomatium,nudicaule,1974-1126; 2008-0247; 2011-0325; 2011-0326; 2015-0400; 2024-0731
Apiaceae,Lomatium,triternatum,1985-0073; 2013-0442
Apiaceae,Lomatium,utriculatum,1976-0230; 1992-0728; 2007-0087; 2009-0190; 2011-0264; 2012-0359; 2019-0831; 2022-0372
Apiaceae,Osmorhiza,chilensis,1975-0219; 1975-0843
Apiaceae,Osmorhiza,occidentalis,1995-0465
Apiaceae,Sanicula,bipinnatifida,2021-0025
Apiaceae,Sanicula,crassicaulis,1975-0795; 1976-0644; 2010-0236; 2010-0238; 2011-0536; 2022-0377
Apiaceae,Sanicula,graveolens,1975-0173
Apiaceae,Sanicula,marilandica,1975-0657
Apocynaceae subfam. Apocynoideae,Apocynum,androsaemifolium,1975-0295; 1975-0762; 2012-0076; 2015-0444
Apocynaceae subfam. Asclepiadoideae,Asclepias,speciosa,1978-0920; 1996-0056; 2011-0830
Aquifoliaceae,Ilex,aquifolium,1974-0314; 1975-0707; 1976-0046
Araceae,Lemna,trisulca,1975-0629
Araceae,Lysichiton,americanus,1971-0212; 1975-0092; 1975-0837; 1997-0246; 1999-0480; 2004-0105; 2005-0340; 2005-0364; 2005-0365; 2005-0366
Araliaceae,Oplopanax,horridus,1971-0075; 1972-0276; 1973-0300; 1973-0741; 1974-0609; 1975-0741; 1994-0554; 2006-0397; 2011-0677; 2012-0092; 2014-0400; 2015-0433; 2016-0351
Aristolochiaceae,Asarum,caudatum,1971-0042; 1972-0677; 1973-0617; 1974-0600; 1975-0737; 1990-0004; 1995-0235; 1999-0102; 2011-0644; 2021-0716
Asparagaceae,Brodiaea,coronaria,1971-0107; 2007-0085; 2013-0489; 2015-0246; 2016-0208; 2023-0237
Asparagaceae,Camassia,leichtlinii,1974-1162; 1977-0105; 1982-0427; 1985-0281; 1992-0724; 1994-0084; 1994-0085; 1996-0120; 2000-0338; 2006-0250; 2007-0060; 2007-0093; 2007-0094; 2007-0463; 2008-0431; 2008-0432; 2010-0491; 2011-0811; 2011-0813; 2011-0819; 2011-0847; 2011-0848; 2011-0850; 2011-0851; 2011-0852; 2011-0854; 2012-0082; 2019-0826; 2022-0353; 2022-0358
Asparagaceae,Camassia,quamash,1973-0087; 1973-0144; 1973-0662; 1975-0127; 1978-0952; 1982-0659; 1982-1272; 1983-0649; 1992-0600; 1992-0725; 1994-0086; 1999-0286; 2000-0339; 2004-0045; 2006-0297; 2007-0061; 2007-0080; 2007-0095; 2011-0065; 2011-0814; 2011-0815; 2011-0818; 2011-0820; 2011-0823; 2011-0824; 2011-0825; 2011-0826; 2011-0827; 2011-0882; 2012-0078; 2012-0079; 2012-0080; 2012-0081; 2012-0564; 2012-0565; 2012-0566; 2013-0330; 2019-0832; 2021-0600; 2022-0354; 2024-0283; 2024-0381
Asparagaceae,Maianthemum,canadense,2011-0140; 2013-0118; 2014-0142; 2018-0813; 2022-0552
Asparagaceae,Maianthemum,dilatatum,1970-0061; 1972-0692; 1973-0742; 1974-0323; 1974-0364; 1975-0157; 1975-0686; 2003-0309
Asparagaceae,Maianthemum,racemosum,1975-0176; 1995-0231; 1995-0238; 2003-0315; 2006-0200; 2006-0201; 2006-0396; 2015-0464; 2021-0774
Asparagaceae,Maianthemum,stellatum,1974-1243; 1975-0177; 1977-0707; 1980-0048; 1995-0099; 2006-0202; 2018-0765; 2018-0812; 2022-0373
Asparagaceae,Maianthemum,trifolium,1974-0538; 1977-0356
Asparagaceae,Triteleia,grandiflora,1977-0790; 2011-0773; 2012-0345
Asparagaceae,Triteleia,hyacinthina,1972-0076; 1975-0810; 1982-0541; 2006-0484; 2007-0466; 2010-0516; 2011-0872; 2017-0204; 2022-0119
Aspleniaceae,Asplenium,trichomanes,1974-0282; 1975-0827; 1976-0047; 2006-0360; 2011-0756; 2012-0314; 2015-0192
Aspleniaceae,Asplenium,viride,1975-0122; 2006-0408; 2009-0356; 2019-0602
Asteraceae,Adenocaulon,bicolor,1976-0223; 1995-0418
Asteraceae,Chrysothamnus,nauseosus,1974-1148; 1995-0820
Asteraceae,Eurybia,conspicua,1974-0442; 1977-0550; 1979-0683; 1980-0121; 2012-0075; 2012-0297; 2019-0910
Asteraceae,Eurybia,sibirica,1989-0740; 1990-0557; 1992-0593; 1992-0594; 1992-0599; 2004-0131; 2009-0148
Asteraceae,Packera,cana,2011-0651
Asteraceae,Sinosenecio,newcombei,2007-0446
Asteraceae,Tonestus,lyallii,1977-0247; 2016-0288; 2018-0863; 2019-1168
Asteraceae subfam. Asteroideae,Achillea,alpina,1978-0434; 1980-0050
Asteraceae subfam. Asteroideae,Achillea,millefolium,1977-0776; 1978-0400; 1978-0851; 1978-0918; 1996-0093; 1998-0498; 1999-0154; 2001-0323; 2008-0293; 2009-0241; 2010-0560; 2017-0018
Asteraceae subfam. Asteroideae,Anaphalis,margaritacea,1975-0399; 1976-0051; 1995-0335
Asteraceae subfam. Asteroideae,Antennaria,media,2016-0261
Asteraceae subfam. Asteroideae,Antennaria,pulcherrima,1977-0171; 1979-0798; 2016-0279
Asteraceae subfam. Asteroideae,Antennaria,umbrinella,1974-0800; 1975-0117; 1979-0799; 2007-0179; 2019-0918; 2019-0928; 2019-0956
Asteraceae subfam. Asteroideae,Arnica,cordifolia,1975-0401; 1982-0760; 1993-0122; 1999-0183; 2019-0914
Asteraceae subfam. Asteroideae,Arnica,lessingii,2013-0444
Asteraceae subfam. Asteroideae,Artemisia,frigida,1973-0274; 1990-0556
Asteraceae subfam. Asteroideae,Artemisia,ludoviciana,1974-0599; 1975-0906; 1975-0938; 1996-0207; 2014-0150
Asteraceae subfam. Asteroideae,Artemisia,michauxiana,1974-0419; 1979-0595; 1998-0005; 2014-0323; 2016-0124
Asteraceae subfam. Asteroideae,Artemisia,norvegica,1974-0441; 1978-0469; 1979-0806
Asteraceae subfam. Asteroideae,Artemisia,suksdorfii,1996-0208
Asteraceae subfam. Asteroideae,Artemisia,tridentata,1973-0456; 1973-0479; 1974-0739; 1974-1196; 1975-0120; 1975-0764; 2000-0337
Asteraceae subfam. Asteroideae,Balsamorhiza,deltoidea,1995-0880; 2011-0534; 2012-0341; 2017-0346; 2021-0027
Asteraceae subfam. Asteroideae,Balsamorhiza,sagittata,1975-0123; 1977-0551; 1994-0557; 1995-0242; 1995-0848; 2011-0477; 2011-0478; 2011-0479; 2022-0002
Asteraceae subfam. Asteroideae,Brickellia,grandiflora,1993-0508
Asteraceae subfam. Asteroideae,Canadanthus,modestus,1976-0689; 2019-0915
Asteraceae subfam. Asteroideae,Chaenactis,douglasii,1978-0976; 2019-1162
Asteraceae subfam. Asteroideae,Erigeron,aureus,1975-0623; 1978-0727; 1979-0206; 1979-0801; 1982-0854; 1982-1096; 2011-0499; 2015-0095; 2019-1163
Asteraceae subfam. Asteroideae,Erigeron,linearis,1975-0144; 1977-0553; 1989-0381; 1999-0248; 2002-0263; 2011-0414; 2015-0096
Asteraceae subfam. Asteroideae,Erigeron,ochroleucus,2019-0175
Asteraceae subfam. Asteroideae,Erigeron,peregrinus,1977-0163; 1999-0236
Asteraceae subfam. Asteroideae,Erigeron,poliospermus,2007-0164; 2010-0219; 2018-0004
Asteraceae subfam. Asteroideae,Erigeron,speciosus,2012-0072; 2012-0073
Asteraceae subfam. Asteroideae,Eriophyllum,lanatum,1974-0734; 2005-0360; 2010-0163; 2010-0166; 2011-0769; 2022-0365; 2023-0513; 2024-0680
Asteraceae subfam. Asteroideae,Eutrochium,maculatum,2007-0399; 2019-1013
Asteraceae subfam. Asteroideae,Gaillardia,aristata,1970-0118; 1971-0029; 1971-0226; 1973-0686; 1974-1150; 1974-1151; 1977-0535; 1993-0128; 1995-0821; 2001-0343; 2005-0209; 2018-0859; 2019-0067; 2019-0904; 2024-0375
Asteraceae subfam. Asteroideae,Grindelia,integrifolia,1971-0081; 1975-0364; 1975-0592; 1976-0407; 1977-0260; 1992-0067; 1995-0424; 2007-0097; 2022-0238
Asteraceae subfam. Asteroideae,Helenium,autumnale,1996-0428; 2020-0346; 2022-0123; 2022-0172; 2025-0282
Asteraceae subfam. Asteroideae,Helianthus,annuus,1996-0176; 2018-0229; 2019-0456; 2020-0200; 2024-0549
Asteraceae subfam. Asteroideae,Inula,helenium,1979-0299; 1997-0112; 2008-0211
Asteraceae subfam. Asteroideae,Madia,sativa,1995-0429
Asteraceae subfam. Asteroideae,Matricaria,chamomilla,1978-0418; 1997-0172; 2015-0155; 2017-0083; 2024-0652
Asteraceae subfam. Asteroideae,Mycelis,muralis,1990-0100
Asteraceae subfam. Asteroideae,Petasites,frigidus,1971-0050; 1974-0319; 1976-0260; 1995-0466; 2023-0112
Asteraceae subfam. Asteroideae,Petasites,japonicus,1976-0286; 1977-0436; 2012-0150; 2024-0146
Asteraceae subfam. Asteroideae,Ratibida,columnifera,1981-0242; 1992-0009; 1995-0064; 1995-0157; 2000-0030; 2018-0244; 2019-0525; 2020-0264; 2021-0436; 2021-0437
Asteraceae subfam. Asteroideae,Rudbeckia,laciniata,2018-0822
Asteraceae subfam. Asteroideae,Senecio,canus,1975-0344; 1977-0556
Asteraceae subfam. Asteroideae,Senecio,fremontii,2000-0086
Asteraceae subfam. Asteroideae,Senecio,sylvaticus,1979-0491
Asteraceae subfam. Asteroideae,Senecio,triangularis,1975-0908; 1977-0212; 1996-0211
Asteraceae subfam. Asteroideae,Solidago,multiradiata,1974-0793; 1977-0708; 2018-0011; 2019-1084
Asteraceae subfam. Asteroideae,Solidago,simplex,1992-0076; 2019-0911
Asteraceae subfam. Asteroideae,Symphyotrichum,ericoides,1975-0945; 1995-0067; 2024-0376
Asteraceae subfam. Asteroideae,Symphyotrichum,laeve,2019-1044; 2021-0609
Asteraceae subfam. Asteroideae,Tanacetum,parthenium,1978-0279; 1989-0329; 1998-0503; 2001-0317; 2013-0226; 2020-0522; 2023-0309
Asteraceae subfam. Asteroideae,Townsendia,parryi,1999-0203; 1999-0254; 2018-0013; 2018-0028
Asteraceae subfam. Carduoideae,Arctium,minus,1996-0105
Asteraceae subfam. Carduoideae,Cirsium,arvense,2016-0103
Asteraceae subfam. Carduoideae,Silybum,marianum,1989-0097; 1997-0113
Athyriaceae,Athyrium,distentifolium,1975-0607; 2020-0369
Athyriaceae,Athyrium,filix-femina,1975-0402; 1976-0048; 2003-0314; 2007-0057
Balsaminaceae,Impatiens,noli-tangere,1977-0248; 1995-0881
Berberidaceae,Achlys,triphylla,1995-0228; 1995-0234; 2011-0627; 2012-0342; 2012-0346; 2012-0353; 2013-0211; 2014-0294; 2015-0470; 2016-0377; 2017-0405; 2018-0487; 2021-0718
Berberidaceae,Berberis,aquifolium,1973-0675; 1974-0318; 1974-0497; 1975-0818; 1976-0582; 1982-0771; 1990-0583; 1994-0449; 2003-0289; 2004-0055; 2004-0056; 2004-0057; 2004-0058; 2004-0059; 2007-0068; 2010-0165; 2013-0314; 2020-0573
Berberidaceae,Berberis,vulgaris,1989-0338
Berberidaceae,Mahonia,nervosa,1974-0305; 1975-0072; 1975-0838; 1976-0052; 1999-0438; 2007-0069; 2007-0083; 2011-0502; 2012-0448; 2016-0327; 2017-0035; 2019-0711
Berberidaceae,Mahonia,repens,1973-0482; 1974-0801; 1974-1100; 1974-1136; 1975-0419; 1975-0779; 1994-0457; 2019-0712; 2019-0786
Betulaceae,Alnus,incana,1973-0453; 1975-0353; 1977-0137; 2004-0071
Betulaceae,Alnus,rubra,1974-0332; 1976-0054; 1977-0274; 2016-0422; 2022-0103; 2022-0104
Betulaceae,Alnus,viridis,1973-0311; 1974-0424; 1975-0760; 1994-0004; 2004-0085
Betulaceae,Betula,nana,1970-0135; 1974-0916; 2000-0121; 2020-0498
Betulaceae,Betula,occidentalis,1979-0809; 1980-0402; 2016-0373
Betulaceae,Betula,papyrifera,1973-0306; 1975-0738; 1975-0765; 1976-0424; 1979-0810; 1986-0168; 2010-0412; 2016-0205; 2016-0354; 2016-0369; 2019-1025; 2023-0252
Betulaceae,Betula,pumila,1974-0626; 1979-0808
Betulaceae,Corylus,cornuta,1973-0324; 1976-0053; 2004-0070; 2004-0084; 2004-0106; 2010-0537; 2010-0539; 2010-0545; 2019-1027
Blechnaceae,Struthiopteris,spicant,1971-0088; 1973-0594; 1975-0080; 1976-0055; 1997-0466; 1998-0885; 2003-0292; 2007-0059; 2007-0348; 2010-0535; 2010-0540; 2011-0297
Blechnaceae,Woodwardia,fimbriata,1988-0312; 1995-0316; 2006-0190; 2008-0434; 2012-0313; 2016-0314; 2022-0533
Boraginaceae,Echium,vulgare,1974-1123; 1999-0173; 2001-0325; 2019-1155
Boraginaceae,Lithospermum,ruderale,1973-0449; 1976-0228; 1978-0236; 2019-0906
Boraginaceae,Mertensia,longiflora,1995-0248
Boraginaceae,Mertensia,paniculata,1978-0936; 1982-0466; 1998-0788; 2001-0165
Boraginaceae,Myosotis,alpestris,1973-0080; 1977-0311; 1978-0263; 1978-0333; 1979-0721; 1980-0057; 1982-0759; 1986-0309
Brassicaceae,Alliaria,petiolata,2016-0102; 2021-0531; 2022-0219; 2023-0190
Brassicaceae,Draba,glabella,1999-0247
Brassicaceae,Draba,oligosperma,1972-0488; 1972-0507; 1974-0925; 1978-0447; 1997-0152; 2009-0158; 2013-0450
Brassicaceae,Draba,paysonii,1974-0632; 1979-0811; 2005-0290
Brassicaceae,Draba,ventosa,1979-0812; 2007-0389; 2011-0073
Brassicaceae,Erysimum,capitatum,2013-0492
Brassicaceae,Hesperis,matronalis,1975-0313; 1997-0111
Brassicaceae,Physaria,arctica,1984-0288; 2019-0068
Brassicaceae,Physaria,douglasii,1976-0364
Brassicaceae,Turritis,glabra,2013-0488; 2014-0267; 2015-0475; 2015-0476
Cactaceae,Opuntia,fragilis,1973-0276; 1975-0158; 1982-0091; 1983-0463; 1983-0464; 1995-0725; 1999-0510; 2006-0067; 2006-0068; 2010-0500; 2011-0449; 2011-0450; 2011-0470; 2011-0475; 2011-0514; 2011-0598; 2011-0654; 2011-0655; 2012-0302; 2012-0303; 2012-0304; 2012-0306; 2015-0241; 2015-0242
Cactaceae,Opuntia,× columbiana,1977-0088; 2011-0469; 2011-0471; 2011-0472; 2011-0473; 2011-0474; 2011-0857; 2012-0298; 2012-0307; 2012-0308; 2012-0309; 2012-0310; 2012-0312; 2012-0320
Campanulaceae subfam. Campanuloideae,Campanula,lasiocarpa,1976-0191; 1976-0709; 1987-0077; 2005-0211; 2019-1098
Campanulaceae subfam. Campanuloideae,Campanula,rotundifolia,1972-0092; 1973-0624; 1975-0700; 1986-0270; 1993-0244; 1995-0183; 2001-0465; 2002-0392
Campanulaceae subfam. Campanuloideae,Campanula,scouleri,1977-0095; 2018-0002
Cannabaceae,Humulus,lupulus,2008-0295
Caprifoliaceae,Linnaea,borealis,1974-0429; 1974-0638; 1975-0320; 1975-0685; 1995-0427; 2012-0351; 2013-0403; 2016-0321; 2018-0800; 2019-1032; 2019-1081; 2024-0346
Caprifoliaceae,Lonicera,ciliosa,1972-0693; 1973-0369; 1973-0370; 1975-0322; 1980-0147; 1984-0284; 1994-0477; 1994-0524; 1995-0236; 2007-0066; 2015-0447
Caprifoliaceae,Lonicera,hispidula,1973-0325; 1973-0371; 1973-0372; 1975-0836; 1995-0096; 2007-0067
Caprifoliaceae,Lonicera,involucrata,1971-0051; 1973-0301; 1975-0740; 1978-0964; 2000-0341; 2013-0311
Caprifoliaceae,Lonicera,utahensis,1974-1154; 1976-0281; 1986-0408; 2000-0380; 2010-0082
Caprifoliaceae,Symphoricarpos,albus,1974-0677; 1976-0071; 1977-0109; 2007-0077; 2007-0078; 2010-0528; 2010-0533; 2010-0542; 2016-0323; 2017-0040; 2019-0228; 2020-0572
Caprifoliaceae,Symphoricarpos,hesperius,2016-0329; 2019-0828; 2019-0829
Caprifoliaceae,Valeriana,congesta,1975-0164; 1977-0477; 2007-0503; 2007-0504; 2019-0999; 2022-0213; 2022-0375
Caprifoliaceae,Valeriana,dioica,1977-0196; 2014-0310
Caprifoliaceae,Valeriana,edulis,1978-0359
Caprifoliaceae,Valeriana,officinalis,1978-0407; 1998-0941
Caprifoliaceae,Valeriana,scouleri,1972-0697; 1975-0601; 1995-0468
Caprifoliaceae,Valeriana,sitchensis,1974-0798; 1975-0853; 1977-0791; 1992-0522; 2014-0407; 2015-0363; 2019-0921
Caryophyllaceae,Eremogone,capillaris,2016-0269
Caryophyllaceae,Sagina,apetala,1989-0384
Caryophyllaceae,Silene,acaulis,1972-0547; 1972-0553; 1972-0582; 1974-1189; 1975-0560; 1979-0438; 1980-0267; 1982-0222; 1984-0229; 1984-0364; 1990-0353; 1991-0455; 1995-0803; 2010-0240; 2016-0281; 2016-0289; 2018-0154
Caryophyllaceae,Silene,scouleri,2017-0350
Celastraceae,Euonymus,occidentalis,2008-0221; 2024-0686
Celastraceae,Parnassia,fimbriata,1975-0331; 1975-0636; 2013-0409; 2015-0356; 2016-0302; 2019-0924
Celastraceae,Parnassia,kotzebuei,1980-0255
Celastraceae,Parnassia,palustris,1977-0179; 1982-0449; 1992-0851; 2014-0373; 2020-0001; 2025-0147
Celastraceae,Parnassia,parviflora,1975-0637
Celastraceae,Paxistima,myrsinites,1971-0055; 1973-0628; 1974-0294; 1974-0610; 1975-0745; 1975-0781; 1985-0043; 2003-0287; 2003-0294; 2003-0305; 2003-0306; 2004-0093; 2004-0094; 2004-0095; 2004-0128; 2007-0084; 2019-0940
Colchicaceae,Disporum,trachycarpum,1971-0113; 1974-0452; 1976-0337; 1977-0100; 2007-0357
Convolvulaceae,Calystegia,soldanella,2011-0109
Cornaceae,Cornus,canadensis,1971-0121; 1972-0075; 1973-0698; 1974-0324; 1974-0425; 1974-0601; 1974-0602; 1974-0603; 1974-0604; 1975-0682; 1977-0173; 1983-0438; 1999-0415; 2018-0782; 2019-1026
Cornaceae,Cornus,nuttallii,1971-0105; 1975-0389; 1976-0057; 1994-0456; 2003-0320; 2014-0406; 2015-0460; 2015-0461; 2020-0694
Cornaceae,Cornus,sericea,1971-0057; 1975-0739; 1976-0425; 1979-0453; 1984-0420; 2016-0319
Cornaceae,Cornus,unalaschkensis,1972-0225; 1973-0598; 1974-0502; 1975-0302; 1980-0302; 2003-0284; 2011-0801; 2012-0347; 2013-0298; 2017-0425; 2024-0622
Crassulaceae,Sedum,album,1973-0110; 1984-0062; 1997-0054
Crassulaceae,Sedum,divergens,1970-0129; 1973-0091; 1975-0074; 1975-0694; 1976-0645; 1980-0265; 1998-0295; 2001-0243; 2015-0360; 2021-0142
Crassulaceae,Sedum,oreganum,1995-0950; 1998-0297; 2017-0039; 2022-0114
Crassulaceae,Sedum,spathulifolium,1970-0128; 1972-0694; 1975-0227; 1975-0283; 1975-0380; 1978-0840; 1980-0195; 1982-0584; 2006-0291; 2006-0292; 2007-0098; 2007-0099; 2013-0422; 2015-0505; 2018-0733; 2018-0755; 2020-0561
Crassulaceae,Sedum,stenopetalum,1980-0192; 1980-0266; 1998-0473; 1998-0487
Cucurbitaceae,Marah,oregana,1978-0762; 2004-0060; 2012-0415; 2019-0123
Cupressaceae,Callitropsis,nootkatensis,1971-0122; 1977-0160; 1977-0321; 1982-0131; 1982-0708; 1994-0543; 1997-0562; 2016-0378; 2017-0290; 2017-0421; 2017-0430; 2023-0458; 2025-0267
Cupressaceae,Juniperus,communis,1973-0446; 1974-0427; 1974-0896; 1975-0776; 2011-0837; 2013-0303; 2015-0404; 2016-0284; 2016-0363; 2018-0778; 2019-0753
Cupressaceae,Juniperus,horizontalis,1972-0598; 1972-0599; 1972-0600; 1972-0601; 1972-0602; 1974-0606; 1974-1067; 1976-0203; 1977-0441; 1977-0442; 1977-0697; 1977-0734; 1979-0548; 1986-0590; 1986-0591; 1986-0592; 1989-0760
Cupressaceae,Juniperus,maritima,2016-0312; 2017-0248
Cupressaceae,Juniperus,scopulorum,1972-0283; 1973-0019; 1973-0450; 1974-0607; 1974-0889; 1974-1068; 1975-0777; 1977-0695; 1977-0696; 1977-0733; 1977-0735; 1984-0308; 2003-0290; 2003-0299; 2003-0300; 2004-0110; 2011-0446; 2011-0447; 2011-0448; 2016-0276; 2019-0905
Cupressaceae,Thuja,plicata,1974-0287; 1976-0058; 1982-1115; 1983-0425; 1994-0271; 2004-0101; 2009-0328; 2009-0375; 2016-0113; 2016-0421; 2023-0030; 2023-0459; 2025-0266
Cyperaceae,Carex,amplifolia,1976-0360
Cyperaceae,Carex,anthoxanthea,1983-0666
Cyperaceae,Carex,aquatilis,1983-0667
Cyperaceae,Carex,aurea,1974-0535; 1975-0885; 2024-0619
Cyperaceae,Carex,bebbii,1978-0525
Cyperaceae,Carex,bicolor,1978-0471
Cyperaceae,Carex,bigelowii,1972-0143
Cyperaceae,Carex,canescens,1972-0089; 1975-0886; 1978-0526
Cyperaceae,Carex,capillaris,1978-0472
Cyperaceae,Carex,capitata,1972-0090
Cyperaceae,Carex,concinna,1978-0527
Cyperaceae,Carex,diandra,1978-0473
Cyperaceae,Carex,dioica,1978-0474
Cyperaceae,Carex,disperma,1974-0445
Cyperaceae,Carex,echinata,2021-0039
Cyperaceae,Carex,flava,1972-0121; 1990-0270
Cyperaceae,Carex,foenea,1983-0664
Cyperaceae,Carex,geyeri,1974-1138
Cyperaceae,Carex,glacialis,1978-0528
Cyperaceae,Carex,hoodii,1983-0668; 2009-0184; 2009-0242; 2022-0359
Cyperaceae,Carex,interior,1978-0475
Cyperaceae,Carex,laeviculmis,1978-0476
Cyperaceae,Carex,limosa,1974-0446
Cyperaceae,Carex,livida,1977-0236
Cyperaceae,Carex,loliacea,1983-0669
